"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Code  JEDEC","Datasheet Version","Description","IN1 IN2 Input VoltageMaxV","IN1 IN2 Input VoltageMinV","IN1 Output CurrentMaxA","IN1 rDSonTypmOhm","IN2 Output CurrentMaxA","IN2 rDSonTypOhms","JLCPCB","Mounting Technology","Number of Inputs","Package Description","Package Version","Sub Family","category","ciiva ids","imported","library id","manufacturer","package","release date","rohs","vault revision"
"1","2","C1, C2","0.1 uF","Device:C","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","~","","","CL05B104KB54PNC","","","","","","","C307331","","","","","","","","","","","","","",""
"2","1","C3","10 uF","Device:C","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","~","","","CL05A106MQ5NUNC","","","","","","","C15525","","","","","","","","","","","","","",""
"3","2","JP1, TP1","VSELECT","Connector:TestPoint","TestPoint:TestPoint_Pad_2.0x2.0mm","~","","","","","","","","","","","","","","","","","","","","","","","",""
"4","2","JP2, TP2","GND","Connector:TestPoint","TestPoint:TestPoint_Pad_2.0x2.0mm","~","","","","","","","","","","","","","","","","","","","","","","","",""
"5","1","JP3","3.3V","Connector:TestPoint","Personal:Vpower-Switch-Pad","~","","","","","","","","","","","","","","","","","","","","","","","",""
"6","1","JP4","5V","Connector:TestPoint","Personal:Vpower-Switch-Pad","~","","","","","","","","","","","","","","","","","","","","","","","",""
"7","1","JP5","VCC","Connector:TestPoint","Personal:Vpower-Switch-Pad","~","","","","","","","","","","","","","","","","","","","","","","","",""
"8","1","R1","550","Device:R","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","~","","","RC0402JR-07560RL","","","","","","","C137858","","","","","","","","","","","","","",""
"9","1","TP3","3.3V","Connector:TestPoint","TestPoint:TestPoint_Pad_2.0x2.0mm","~","","","","","","","","","","","","","","","","","","","","","","","",""
"10","1","TP4","5V","Connector:TestPoint","TestPoint:TestPoint_Pad_2.0x2.0mm","~","","","","","","","","","","","","","","","","","","","","","","","",""
"11","1","TP5","VCC","Connector:TestPoint","TestPoint:TestPoint_Pad_2.0x2.0mm","~","","","","","","","","","","","","","","","","","","","","","","","",""
"12","1","U1","TPS2113PW","Added:TPS2113PW","Personal:Texas_Instruments-TPS2113PW-Level_A","http://www.ti.com/general/docs/lit/getliterature.tsp?genericPartNumber=TPS2113&fileType=pdf","MO-153","SLVS446","","5.5","2.8","1.25","84","1.25","0.084","","Surface Mount","2","8-Pin Plastic Thin Small Outline Package 3 x 4.4 mm Body ,0.65 mm Pitch","revG, Feb-2011","Power Multiplexer (MUX)","IC","1435368","yes","8d418d7fa91867a0","Texas Instruments","PW0008A","1464590589","Yes","9D6D1550-8F4D-4794-945B-26B7B47CC6E6"
